timestamp,temperatura,humedad,pm2_5,co3,punto
2025-06-30 20:30:00,23.29,50.4,6.34,0.072,Punto 1
2025-06-30 20:30:02,21.62,48.7,7.49,0.017,Punto 1
2025-06-30 20:30:04,21.41,58.8,13.92,0.040,Punto 1
2025-06-30 20:30:06,27.27,42.3,46.28,0.019,Punto 1
2025-06-30 20:30:08,23.48,59.1,31.56,0.105,Punto 1
2025-06-30 20:30:10,24.29,50.5,29.13,0.070,Punto 1
2025-06-30 20:30:12,26.60,52.1,15.78,0.105,Punto 1
2025-06-30 20:30:14,23.20,59.2,26.08,0.042,Punto 1
2025-06-30 20:30:16,20.87,57.5,25.35,0.107,Punto 1
2025-06-30 20:30:18,26.93,51.5,9.18,0.044,Punto 1
2025-06-30 20:30:20,27.86,53.4,16.05,0.081,Punto 1
2025-06-30 20:30:22,28.03,47.7,10.58,0.026,Punto 1
2025-06-30 20:30:24,22.38,51.0,22.12,0.080,Punto 1
2025-06-30 20:30:26,20.64,41.9,31.15,0.095,Punto 1
2025-06-30 20:30:28,25.44,57.4,24.33,0.069,Punto 1
2025-06-30 20:30:30,25.86,47.8,24.67,0.102,Punto 1
2025-06-30 20:30:32,24.57,57.2,49.22,0.066,Punto 1
2025-06-30 20:30:34,24.34,48.7,21.28,0.075,Punto 1
2025-06-30 20:30:36,26.69,42.0,41.54,0.080,Punto 1
2025-06-30 20:30:38,26.58,49.5,14.47,0.083,Punto 1
2025-06-30 20:30:40,22.53,45.0,50.70,0.052,Punto 1
2025-06-30 20:30:42,28.61,44.2,27.01,0.060,Punto 1
2025-06-30 20:30:44,20.96,51.1,47.38,0.083,Punto 1
2025-06-30 20:30:46,25.22,58.7,31.17,0.028,Punto 1
2025-06-30 20:30:48,29.04,55.0,39.20,0.068,Punto 1
2025-06-30 20:30:50,28.14,56.3,45.42,0.067,Punto 1
2025-06-30 20:30:52,24.93,52.4,54.25,0.036,Punto 1
2025-06-30 20:30:54,27.00,40.4,13.81,0.085,Punto 1
2025-06-30 20:30:56,22.00,53.0,7.05,0.030,Punto 1
2025-06-30 20:30:58,27.32,58.4,50.63,0.040,Punto 1
2025-06-30 20:31:00,20.35,48.0,33.75,0.108,Punto 1
2025-06-30 20:31:02,23.98,43.6,44.05,0.082,Punto 1
2025-06-30 20:31:04,27.09,49.3,16.12,0.020,Punto 1
2025-06-30 20:31:06,22.63,58.1,33.25,0.039,Punto 1
2025-06-30 20:31:08,22.54,48.3,9.80,0.032,Punto 1
2025-06-30 20:31:10,22.43,41.8,34.94,0.022,Punto 1
2025-06-30 20:31:12,29.80,53.9,21.20,0.109,Punto 1
2025-06-30 20:31:14,27.52,51.4,6.22,0.021,Punto 1
2025-06-30 20:31:16,28.24,58.5,28.09,0.098,Punto 1
2025-06-30 20:31:18,25.16,47.5,34.89,0.047,Punto 1
2025-06-30 20:31:20,25.90,47.4,36.31,0.072,Punto 1
2025-06-30 20:31:22,28.37,50.2,31.93,0.033,Punto 1
2025-06-30 20:31:24,24.76,45.1,38.68,0.072,Punto 1
2025-06-30 20:31:26,25.82,59.7,29.07,0.012,Punto 1
2025-06-30 20:31:28,26.42,48.0,35.08,0.025,Punto 1
2025-06-30 20:31:30,21.04,53.7,33.20,0.046,Punto 1
2025-06-30 20:31:32,28.23,51.0,21.01,0.040,Punto 1
2025-06-30 20:31:34,28.44,55.1,15.51,0.070,Punto 1
2025-06-30 20:31:36,28.99,57.7,48.18,0.071,Punto 1
2025-06-30 20:31:38,20.29,40.0,31.28,0.054,Punto 1
2025-06-30 20:31:40,22.43,41.9,51.90,0.063,Punto 1
2025-06-30 20:31:42,23.98,48.5,33.53,0.032,Punto 1
2025-06-30 20:31:44,26.57,42.4,31.44,0.102,Punto 1
2025-06-30 20:31:46,21.85,50.1,46.17,0.031,Punto 1
2025-06-30 20:31:48,24.73,48.7,32.25,0.101,Punto 1
2025-06-30 20:31:50,20.40,52.3,5.80,0.015,Punto 1
2025-06-30 20:31:52,23.40,44.8,26.61,0.080,Punto 1
2025-06-30 20:31:54,26.83,42.9,36.81,0.084,Punto 1
2025-06-30 20:31:56,27.84,51.3,24.27,0.063,Punto 1
2025-06-30 20:31:58,27.82,56.7,13.58,0.013,Punto 1
2025-06-30 20:32:00,23.41,51.4,17.28,0.022,Punto 1
2025-06-30 20:32:02,29.93,55.7,47.55,0.019,Punto 1
2025-06-30 20:32:04,20.06,58.0,29.00,0.100,Punto 1
2025-06-30 20:32:06,20.95,45.5,47.25,0.089,Punto 1
2025-06-30 20:32:08,26.75,51.5,17.03,0.073,Punto 1
2025-06-30 20:32:10,28.46,42.2,25.38,0.104,Punto 1
2025-06-30 20:32:12,23.51,46.9,43.23,0.106,Punto 1
2025-06-30 20:32:14,26.99,49.3,6.12,0.025,Punto 1
2025-06-30 20:32:16,24.75,40.2,50.11,0.047,Punto 1
2025-06-30 20:32:18,25.23,52.3,28.34,0.070,Punto 1
2025-06-30 20:32:20,27.54,54.9,5.89,0.054,Punto 1
2025-06-30 20:32:22,24.43,44.3,51.80,0.073,Punto 1
2025-06-30 20:32:24,21.87,45.3,32.69,0.045,Punto 1
2025-06-30 20:32:26,22.16,56.4,20.16,0.080,Punto 1
2025-06-30 20:32:28,28.66,56.1,10.07,0.020,Punto 1
2025-06-30 20:32:30,25.42,57.5,6.73,0.041,Punto 1
2025-06-30 20:32:32,25.26,42.8,28.03,0.017,Punto 1
2025-06-30 20:32:34,20.56,49.9,37.83,0.052,Punto 1
2025-06-30 20:32:36,22.89,59.6,31.04,0.109,Punto 1
2025-06-30 20:32:38,26.84,54.0,14.97,0.087,Punto 1
2025-06-30 20:32:40,26.53,43.5,44.56,0.050,Punto 1
2025-06-30 20:32:42,24.24,42.9,6.95,0.051,Punto 1
2025-06-30 20:32:44,29.10,40.1,18.59,0.047,Punto 1
2025-06-30 20:32:46,20.35,52.6,6.47,0.102,Punto 1
2025-06-30 20:32:48,23.33,40.2,20.30,0.089,Punto 1
2025-06-30 20:32:50,23.75,56.1,28.88,0.015,Punto 1
2025-06-30 20:32:52,28.40,49.5,21.85,0.035,Punto 1
2025-06-30 20:32:54,25.63,49.5,17.21,0.041,Punto 1
2025-06-30 20:32:56,25.14,40.9,16.36,0.025,Punto 1
2025-06-30 20:32:58,28.25,50.1,15.27,0.051,Punto 1
2025-06-30 20:33:00,21.40,49.4,27.74,0.032,Punto 1
2025-06-30 20:33:02,26.36,58.6,39.73,0.048,Punto 1
2025-06-30 20:33:04,24.03,41.3,53.74,0.106,Punto 1
2025-06-30 20:33:06,25.99,51.9,27.04,0.025,Punto 1
2025-06-30 20:33:08,21.56,49.1,19.24,0.060,Punto 1
2025-06-30 20:33:10,26.96,58.7,34.75,0.012,Punto 1
2025-06-30 20:33:12,25.47,49.5,28.26,0.069,Punto 1
2025-06-30 20:33:14,27.76,52.3,33.20,0.056,Punto 1
2025-06-30 20:33:16,27.73,56.4,15.45,0.065,Punto 1
2025-06-30 20:33:18,25.23,47.2,11.06,0.015,Punto 1
